model,dataset,output_len,mse,mae
iTransformer,PEMS08,96,0.221,0.267
MSGNet,PEMS08,96,0.364,0.387
TimesNet,PEMS08,96,0.32,0.351
PatchTST,PEMS08,96,0.408,0.417
Crossformer,PEMS08,96,0.377,0.397
DLinear,PEMS08,96,0.674,0.565
PatchMLP,PEMS08,avg,0.1208725,0.20153
TQNet,PEMS08,avg,0.142,0.229
MMK,PEMS08,avg,0.31244,0.35425
TimeXer,PEMS08,avg,0.175,0.25
CycleNet,PEMS08,avg,0.15,0.246
iTransformer,PEMS08,avg,0.15,0.226
MSGNet,PEMS08,avg,0.205,0.285
TimesNet,PEMS08,avg,0.193,0.271
PatchTST,PEMS08,avg,0.28,0.321
Crossformer,PEMS08,avg,0.268,0.307
DLinear,PEMS08,avg,0.379,0.416
